task_id,source,upload_url,image_id,ai_path,ai_path_en,has_human_ref,human_ref_path,ann_A_action,ann_A_path,ann_A_path_en,ann_A_uncertain,ann_A_uncertain_reason,ann_B_action,ann_B_path,ann_B_path_en,ann_B_uncertain,ann_B_uncertain_reason,ann_C_action,ann_C_path,ann_C_path_en,ann_C_uncertain,ann_C_uncertain_reason,ann_D_action,ann_D_path,ann_D_path_en,ann_D_uncertain,ann_D_uncertain_reason,ann_E_action,ann_E_path,ann_E_path_en,ann_E_uncertain,ann_E_uncertain_reason,agreement_type,majority_path,decision,confidence
T1284,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/4cbf4bff01a47b6caea3d4ef2fa0168f.png,1126013000044,,,false,,UNCERTAIN,美食/蔬菜/秋葵,Food/Vegetable/Okra,true,This vegetable is not present in the tree,,,,,,OVERRIDE,艺术/展览/艺术展,Art/Exhibition/Art Exhibition,false,,,,,,,OVERRIDE,美食/蔬菜/青菜,Food/Vegetable/Green Vegetables,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1288,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/d7f80941f857e7db9351840d04712c9c.png,1126013000039,,,false,,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,,,,,,OVERRIDE,美食/蔬菜/洋葱,Food/Vegetable/Onion,false,,,,,,,OVERRIDE,美食/蔬菜,Food/Vegetable,false,,REVIEW_L1,,NEEDS_REVIEW,0.0
T1311,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/a90922ec379abcfd72e13b00e7e8bfbe.png,1126012900736,,,false,,,,,,,UNCERTAIN,家居/浴室,Home/Bathroom,true,we don't have Soap category,OVERRIDE,家居/浴室,Home/Bathroom,false,,OVERRIDE,静物/生活用品,Still Life/Daily Necessities,false,,,,,,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1480,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b55bff3fdd6be25ed3905757b7a086cd.png,1126012900199,,,false,,UNCERTAIN,家居/家具,Home/Furniture,true,No picture frame in the tree,,,,,,OVERRIDE,艺术/雕塑,Art/Sculpture,false,,OVERRIDE,家居/家具,Home/Furniture,false,,,,,,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1511,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/9c832b3f64188c8efd74396d8b48437b.png,260130100083,美食/料理/创意料理,Food/Cuisine/Creative Cuisine,false,,OVERRIDE,静物/生活用品/花瓶,Still Life/Daily Necessities/Vase,false,,ACCEPT,美食/料理/创意料理,Food/Cuisine/Creative Cuisine,false,,,,,,,,,,,,OVERRIDE,艺术/展览/装置艺术,Art/Exhibition/Installation Art,false,,REVIEW_L1,,NEEDS_REVIEW,0.0
T1540,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/ca04a40603851fc0d9a13c7f3a1b931c.png,260130100050,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,UNCERTAIN,动物/鸟类,Animal/Birds,true,this bird is not in category,,,,,,,,,,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1572,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b7aab83441184ce69bf61eacca0d721a.jpg,260130100018,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,,,,,,UNCERTAIN,动物,Animal,true,Seagull is not  in bird category,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,,,,,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1582,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/400d1ea898c4bc25e34ae7af802da553.jpg,260130100008,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,ACCEPT,影视/纪录片/自然纪录片,Film & TV/Documentary/Nature Documentaries,false,,,,,,,,,,,,OVERRIDE,动物/鸟类/鹦鹉,Animal/Birds/Parrot,false,,OVERRIDE,动物/鸟类/海鸥,Animal/Birds/Seagull,false,,REVIEW_L1,,NEEDS_REVIEW,0.0
T1594,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/4a52545fa3ee6e81c09bd53a534a60d8.png,83832,静物/摆件/篮子,Still Life/Ornaments/Basket,false,,,,,,,ACCEPT,静物/摆件/篮子,Still Life/Ornaments/Basket,false,,UNCERTAIN,美食,Food,true,should be egg under food,,,,,,OVERRIDE,美食,Food,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1655,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/b92d41079b3e0d69f28f4aa388cd7555.jpg,676516,,,false,,UNCERTAIN,动物/鸟类,Animal/Birds,true,White Pelicans is not present in our tree,,,,,,,,,,,OVERRIDE,动物/鸟类,Animal/Birds,false,,OVERRIDE,动物/鸟类/火烈鸟,Animal/Birds/Flamingo,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1663,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/003032962502a575858aaa860e540004.jpg,676528,,,false,,,,,,,OVERRIDE,旅游/自然风光/湖泊,Travel/Natural Scenery/Lake,false,,OVERRIDE,旅游/自然风光/雪山,Travel/Natural Scenery/Snow Mountain,false,,,,,,,OVERRIDE,旅游/热门目的地/欧洲,Travel/Popular Destinations/Europe,false,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T1677,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/20a4203feeb253d3c9b22bdf3046104a.png,83724,动物/食草动物/牛,Animal/Herbivore/Cattle,false,,UNCERTAIN,动物/食草动物/牛,Animal/Herbivore/Cattle,true,There is no Cow under the animal tree,ACCEPT,动物/食草动物/牛,Animal/Herbivore/Cattle,false,,,,,,,,,,,,ACCEPT,动物/食草动物/牛,Animal/Herbivore/Cattle,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1703,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/30/69d0f6b67f2ac9633098e3d773b8603f.png,83624,,,false,,UNCERTAIN,美食/料理,Food/Cuisine,true,Egg is not there under food tree,,,,,,UNCERTAIN,,,true,should be egg under food,,,,,,UNCERTAIN,美食,Food,true,Suggest to add 'Food Ingredients' category on L2,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1715,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/image-group/202601/29/a4c890e26cfb63b779de674f33ba95be.jpg,582110495679449000,影视/剧集/英美剧/悬疑电视剧,Film & TV/TV Series/British and American Dramas/Suspense TV Series,false,,ACCEPT,影视/剧集/英美剧/悬疑电视剧,Film & TV/TV Series/British and American Dramas/Suspense TV Series,false,,,,,,,MODIFY,影视/剧集,Film & TV/TV Series,false,,,,,,,MODIFY,影视/剧集/英美剧/喜剧电视剧,Film & TV/TV Series/British and American Dramas/Comedy TV Series,false,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T1736,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/29/a2f26befb98c7f75d7e4731fcdce2dee.png,1126012800422,,,false,,,,,,,,,,,,OVERRIDE,家居/客厅/轻奢风,Home/Living Room/Light Luxury Style,false,,OVERRIDE,旅游/热门目的地/南美洲,Travel/Popular Destinations/South America,false,,OVERRIDE,家居/玄关,Home/Entrance,false,,REVIEW_L1,,NEEDS_REVIEW,0.0
T1738,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/29/2516145ba9584b5585996da92282304b.png,1126012800399,,,false,,UNCERTAIN,静物,Still Life,true,Not sure where to put the festival of mexico image,UNCERTAIN,二次元,ACG,true,Art & Culture -> Carnival,OVERRIDE,绘画/素描,Painting/Sketch,false,,,,,,,,,,,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T1774,1000,https://theme-magazine-gl-01.heytapimg.com/magzineimgf-nearme-com-cn/openplat/lockscreen/self-image/wallpaper/202601/29/25761f98a2b2dfbad73e3219afa492db.png,1126012900416,,,false,,UNCERTAIN,动物/鸟类,Animal/Birds,true,There is no Great Cormorant bird under animal tree,UNCERTAIN,动物/鸟类,Animal/Birds,true,This bird named as  Great Cormorant is not in our list,,,,,,,,,,,OVERRIDE,动物/鸟类/大雁,Animal/Birds/Wild Geese,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
